Dozentennummer;ProsopID;Institution;Fakultaet;Vollname;Nachname;Vorname;Typ;Beschreibung;Von;Bis;Geburt;Tod;Verwandt
566;4.1.76;Universität;med.;Abelin Isaak;Abelin;Isaak;geburt;geboren;1883-02-06;;1883-02-06;;
566;4.1.76;Universität;med.;Abelin Isaak;Abelin;Isaak;tod;gestorben;1965-04-25;;;1965-04-25;
566;4.1.76;Universität;med.;Abelin Isaak;Abelin;Isaak;ausbildung;Mittelschulen Witebsk;;;;;
566;4.1.76;Universität;med.;Abelin Isaak;Abelin;Isaak;ausbildung;Apothekerlehre in Witebsk;;;;;
566;4.1.76;Universität;med.;Abelin Isaak;Abelin;Isaak;ausbildung;Apothekergehilfenprüfung Universität Odessa;;;;;
566;4.1.76;Universität;med.;Abelin Isaak;Abelin;Isaak;ausbildung;Studium in Bern;1904-01-01;;;;
566;4.1.76;Universität;med.;Abelin Isaak;Abelin;Isaak;ausbildung;Dr. phil. Bern;1910-01-01;;;;
566;4.1.76;Universität;med.;Abelin Isaak;Abelin;Isaak;ausbildung;Dr. med. Bern;1922-01-01;;;;
566;4.1.76;Universität;med.;Abelin Isaak;Abelin;Isaak;ausbildung;Schüler von Kostanecki;;;;;
566;4.1.76;Universität;med.;Abelin Isaak;Abelin;Isaak;taetigkeit_vor_Eintritt;Assistent Pharmakologisches Institut Bern;;;;;
566;4.1.76;Universität;med.;Abelin Isaak;Abelin;Isaak;lehrtaetigkeit_unibe;PD phil. - nat. Organ. Chemie bes. Chemie der Fettkörper;1914-01-01;1943-01-01;;;
566;4.1.76;Universität;med.;Abelin Isaak;Abelin;Isaak;lehrtaetigkeit_unibe;aoPmed. Ernährungslehre und allgemeine Physiologie;1927-01-01;;;;
566;4.1.76;Universität;med.;Abelin Isaak;Abelin;Isaak;lehrtaetigkeit_unibe;oP Medizinische Chemie;1943-01-01;;;;
566;4.1.76;Universität;med.;Abelin Isaak;Abelin;Isaak;austritt_unibe;Ruhestand;1953-01-01;;;;
617;4.1.127;Universität;med.;Abelin Theodor;Abelin;Theodor;geburt;geboren;1935-08-19;;1935-08-19;;
617;4.1.127;Universität;med.;Abelin Theodor;Abelin;Theodor;tod;gestorben;;;;;
617;4.1.127;Universität;med.;Abelin Theodor;Abelin;Theodor;ausbildung;Gymnasium in Bern;;;;;
617;4.1.127;Universität;med.;Abelin Theodor;Abelin;Theodor;ausbildung;Studium in Bern und Genf;;;;;
617;4.1.127;Universität;med.;Abelin Theodor;Abelin;Theodor;ausbildung;postgraduate in Zürich ( ETH ) und Harvard / Mass.;;;;;
