Dozentennummer,ProsopID,Vollname,Nachname,Vorname,Geburt,Tod,Institution,Fakultaet,Typ,Beschreibung,Von,Bis,Verwandt
1,0.0.1,Grossmann Kaspar ( Megander ),Grossmann,Kaspar ( Megander ),1495-01-01,1545-08-18,['Hohe Schule'],['Hohe Schule'],"['austritt_unibe', 'taetigkeit_nach_austritt', 'lehrtaetigkeit_unibe', 'taetigkeit_vor_Eintritt', 'ausbildung']","['Studium an der Universität Basel', 'MA', 'Spitalprediger in Zürich', 'Lehrer an der Prophezei in Zürich', 'Professor der Theologie', 'Entlassung ( Sakramentsstreit )', 'Chorherr am Münster in Zürich']","['1518-01-01', '1524-01-01', '1525-01-01', '1528-01-01', '1537-01-01', '1538-01-01']","['1528-01-01', '1545-01-01']",[]
2,0.0.2,Hofmeister Sebastian ( Oeconomus ),Hofmeister,Sebastian ( Oeconomus ),,1533-06-09,['Hohe Schule'],['Hohe Schule'],"['austritt_unibe', 'taetigkeit_nach_austritt', 'lehrtaetigkeit_unibe', 'taetigkeit_vor_Eintritt', 'ausbildung']","['Studium im Barfüsserkloster Schaffhausen', 'Studium in den Franziskanerorden von Frankfurt a. M. und Paris', 'Dr. theol. Paris', 'Lesemeister im Franziskanerkloster Zürich', 'Lesemeister im Franziskanerkloster Konstanz', 'Prediger Luzern', 'Prediger in Kloster und Kirche Schaffhausen', 'Pfarrer am Fraumünster Zürich', 'Professor der hebräischen Sprache', 'Demission', 'Pfarrer Zofingen']","['1520-01-01', '1522-01-01', '1525-01-01', '1528-01-01']","['1525-01-01', '1528-01-01', '1533-01-01']",[]
3,0.0.3,Müller Johannes ( Rhellicanus ),Müller,Johannes ( Rhellicanus ),1478-01-01,1542-04-01,['Hohe Schule'],['Hohe Schule'],"['austritt_unibe', 'taetigkeit_nach_austritt', 'lehrtaetigkeit_unibe', 'akad_aemter_unibe', 'ausbildung']","['Studium an der Universität Krakau', 'Professor der Philosophie und der griechischen Sprache', 'Professor der griechischen Sprache', 'Praepositus des Klosters', 'Ruf nach Zürich', 'Vorsteher der neugegründeten Theologenschule Zürich', 'Zweiter Pfarrer Biel']","['1528-01-01', '1533-01-01', '1538-01-01', '1541-01-01']","['1538-01-01', '1541-01-01', '1542-01-01']",[]
4,0.0.4,Sulzer Simon ( Sulcerus ),Sulzer,Simon ( Sulcerus ),1508-09-22,1585-06-22,['Hohe Schule'],['Hohe Schule'],"['austritt_unibe', 'taetigkeit_nach_austritt', 'lehrtaetigkeit_unibe', 'akad_aemter_unibe', 'ausbildung']","['Schulen in Bern und Luzern', 'Studium an den Universitäten Strassburg und Basel', 'Magister Phil. Basel Geistlicher', 'Professor der Philosophie', 'Professor der Philosophie Theologie und der hebräischen Sprache', 'Professor der Theologie', 'Praepositus des Klosters', 'Promotion auf eine Pfarrstelle', 'Pfarrer Bern ( Münster )', 'Pfarrer Basel ( St. Peter )', 'Professor Basel', 'Pfarrer und Antistes Basel ( Münster )', 'Rektor Basel', 'Rektor der Universität Basel']","['1537-01-01', '1534-01-01', '1538-01-01', '1544-01-01', '1549-01-01', '1552-01-01', '1553-01-01', '1556-01-01', '1562-01-01', '1568-01-01', '1575-01-01']","['1536-01-01', '1542-01-01', '1544-01-01', '1548-01-01', '1552-01-01', '1553-01-01', '1585-01-01']",[]
5,0.0.5,Grynäus Thomas,Grynäus,Thomas,1512-01-01,1564-08-02,['Hohe Schule'],['Hohe Schule'],"['austritt_unibe', 'taetigkeit_nach_austritt', 'lehrtaetigkeit_unibe', 'akad_aemter_unibe', 'ausbildung']","['Studium an den Universitäten Heidelberg und Basel', 'MA', 'Professor der Philosophie', 'Professor der griechischen Sprache', 'Praepositus des Klosters', 'Entlassung ( Sakramentsstreit )', 'Professor am Pädagogium Basel', 'Oberster evangelischer Prediger in Röteln ( Markgrafschaft Baden )']","['1548-01-01', '1536-01-01', '1538-01-01', '1544-01-01', '1546-01-01', '1547-01-01', '1556-01-01']","['1546-01-01', '1556-01-01', '1564-01-01']",[]
6,0.0.6,Storch Jakob ( Pelargus ),Storch,Jakob ( Pelargus ),,,['Hohe Schule'],['Hohe Schule'],"['austritt_unibe', 'taetigkeit_nach_austritt', 'lehrtaetigkeit_unibe']","['Professor der hebräischen Sprache', 'Entlassung', 'in Basel']","['1542-01-01', '1546-01-01']",[],[]
7,0.0.7,Tillmann Bernhard ( Telamonius ),Tillmann,Bernhard ( Telamonius ),1521-01-01,1603-03-30,['Hohe Schule'],['Hohe Schule'],"['austritt_unibe', 'ausbildung', 'taetigkeit_nach_austritt', 'lehrtaetigkeit_unibe']","['Studium an der Universität Paris', 'Professor der Philosophie', 'Professor auch der Theologie', 'Demission', 'Kirchmeier Bern', 'Gerichtsschreiber Bern', 'Vogt Nyon', 'Kastellan Wimmis', 'Schaffner im Frienisberghaus']","['1542-01-01', '1544-01-01', '1558-01-01', '1566-01-01', '1572-01-01', '1579-01-01', '1590-01-01']","['1548-01-01', '1584-01-01']",[]
8,0.0.8,Blauner Adrian,Blauner,Adrian,,1581-01-01,['Hohe Schule'],['Hohe Schule'],"['austritt_unibe', 'ausbildung', 'taetigkeit_nach_austritt', 'lehrtaetigkeit_unibe']","['Studium an der Hohen Schule in Bern ( ? ) und an der Universität Marburg VDM Bern ( ? )', 'Professor der hebräischen Sprache', 'Promotion an eine Helferstelle', 'Helfer in Büren', 'Pfarrer in Koppigen', 'Pfarrer in Zweisimmen', 'Pfarrer in Spiez', 'Professor der Theologie in Lausanne']","['1546-01-01', '1547-01-01', '1553-01-01', '1559-01-01']","['1547-01-01', '1553-01-01', '1559-01-01', '1572-01-01']",['Vater von Professor Gabriel Blauner ( Nr. 16 )']
9,0.0.9,Pfister Niklaus ( Artopoeus ),Pfister,Niklaus ( Artopoeus ),,1553-12-15,['Hohe Schule'],['Hohe Schule'],"['austritt_unibe', 'taetigkeit_nach_austritt', 'lehrtaetigkeit_unibe', 'taetigkeit_vor_Eintritt', 'akad_aemter_unibe']","['Schulmeister Chur', 'Schulmeister Thun', 'Rektor Chur', 'Schulmeister Brugg', 'Schulmeister Bern', 'Professor der griechischen und der hebräischen Sprache', 'Praepositus des Klosters', 'Versetzung an die Lateinschule', 'Schulmeister Lateinschule Bern']","['1527-01-01', '1535-01-01', '1539-01-01', '1542-01-01', '1546-01-01', '1553-01-01']","['1535-01-01', '1539-01-01', '1542-01-01', '1546-01-01', '1548-01-01', '1553-01-01']",[]
10,0.0.10,von Rümlang Eberhard ( a Rumlang ),von Rümlang,Eberhard ( a Rumlang ),,1551-10-15,['Hohe Schule'],['Hohe Schule'],"['taetigkeit_vor_Eintritt', 'austritt_unibe', 'ausbildung', 'lehrtaetigkeit_unibe']","['Studium an der Universität Basel', 'Stadtschreiber Thun', 'Seckelschreiber Bern', 'Schulmeister Lateinschule Bern', 'Professor der Theologie', 'Entlassung']","['1526-01-01', '1530-01-01', '1546-01-01', '1548-01-01', '1551-01-01']","['1530-01-01', '1546-01-01', '1549-01-01']",[]
