"prosopid","verwandt","verwandtid"
"6.2.31",Schwiegervater von oP J. Deer ( 6. 1. 74 ),"6.1.74"
"3.1.51",Vater von aoP Kurt Amonn ( 3. 2. 59 ),"3.2.59"
"7.1.39",Sohn von oP Armin Baltzer ( 7. 1. 18 ),"7.1.18"
"7.1.18",Vater von oP Friedrich Baltzer ( 7. 1. 39 ),"7.1.39"
"6.4.59",Gattin von HonP Moritz Tramer ( 4. 3. 10 ),"4.3.10"
"1.2.4",Schwiegervater: oP Gottlieb Studer ( 1. 1. 15 ),"1.1.15"
"3.1.42",Gattin: oP Irene Blumenstein-Steiner ( 3. 1. 73 ),"3.1.73"
"3.1.73",Gattin von oP Ernst Blumenstein ( 3. 1. 42 ),"3.1.42"
"7.2.6",Sohn von oP Karl Brunner ( 7. 1. 5 ),"7.1.5"
"7.1.5",Vater von aoP Karl Brunner ( 7. 2. 6 ),"7.2.6"
"6.4.50",Schwiegersohn von aoP A. F. Flückiger ( 7. 2. 9 ),"7.2.9"
"3.1.44",Sohn von PD Gottlieb Burckhardt ( 4. 4. 33 ),"4.4.33"
"4.1.50",Vater von HonP Sandro Bürgi ( 4. 3. 16 ),"4.3.16"
"4.1.50",PD W. F. Bürgi ( 3. 4. 34 ),"3.4.34"
"4.1.50",Bruder von aoP Moritz Bürgi ( 5. 2. 3 ),"5.2.3"
"5.2.3",Bruder von oP Emil Bürgi ( 4. 1. 50 ),"4.1.50"
"4.3.16",Sohn von oP Emil Bürgi ( 4. 1. 50 ),"4.1.50"
"4.3.16",Bruder von PD Wolfhart Friedrich Bürgi ( 3. 4. 34 ),"3.4.34"
"3.4.34",Sohn von oP Emil Bürgi ( 4. 1. 50 ),"4.1.50"
"3.4.34",Bruder von HonP Sandro Bürgi ( 4. 3. 16 ),"4.3.16"
"3.4.29",Vater von aoP Wilhelm Buser ( 7. 2. 28 ),"7.2.28"
"7.2.28",Sohn von PD Jakob Buser ( 3. 4. 29 ),"3.4.29"
"4.1.95",Bruder von aoP Paul Cottier ( 4. 2. 55 ),"4.2.55"
"4.2.55",Bruder von oP Hans Cottier ( 4. 1. 95 ),"4.1.95"
"1.1.34",Neffe von oP Johann Friedrich de Quervain ( 4. 1. 55 ),"4.1.55"
"4.1.55",Onkel von oP A. De Quervain ( 1. 1. 34 ),"1.1.34"
"6.1.74",Schwiegersohn von aoP Andreas Alföldi ( 6. 2. 31 ),"6.2.31"
"4.1.11",Vater von oP Rudolf Demme ( 4. 1. 41 ),"4.1.41"
"4.1.11",PD Karl Hermann Demme ( 4. 4. 17 ),"4.4.17"
"4.4.17",Sohn von oP Hermann Askan Demme ( 4. 1. 11 ),"4.1.11"
"4.4.17",Bruder von oP Rudolf Demme ( 4. 1. 41 ),"4.1.41"
"4.1.41",Sohn von oP Hermann Askan Demme ( 4. 1. 11 ),"4.1.11"
"4.1.41",Bruder von PD Karl Hermann Demme ( 4. 4. 17 ),"4.4.17"
"4.3.1",Schwiegersohn von oP Gustav König ( 3. 1. 21 ),"3.1.21"
"4.3.1",Vater von PD Fritz L. Dumont ( 4. 4. 78 ),"4.4.78"
"4.4.78",Sohn von Titularprof. Fritz Ludwig Dumont ( 4. 3. 1 ),"4.3.1"
"5.1.1",Vater von oP F. K. Emmert ( 4. 1. 20 ),"4.1.20"
"5.1.1",von PD W. Emmert ( 4. 4. 8 ),"4.4.8"
"4.3.2",Sohn von oP Friedrich Karl Emmert ( 4. 1. 20 ),"4.1.20"
"4.1.20",Vater von HonP Emil Emmert ( 4. 3. 2 ),"4.3.2"
"4.4.8",Sohn von oP ( Akademie ) Ludwig Carl Friedrich Emmert ( 5. 1. 1 ),"5.1.1"
"4.4.8",Bruder von oP Karl Emmert ( 4. 1. 20 ),"4.1.20"
